caldt,vwretd,vwretx,ewretd,ewretx,sprtrn
31-08-05,-0.009159,-0.011265,-0.009789,-0.011389,-0.011222
30-09-05,0.008067,0.006916,0.008281,0.007062,0.006949
31-10-05,-0.015672,-0.016697,-0.023467,-0.024333,-0.017741
30-11-05,0.038289,0.035675,0.043744,0.041691,0.035186
30-12-05,-0.00006,-0.001396,0.008022,0.00657,-0.000952
31-01-06,0.026442,0.025424,0.041378,0.040514,0.025467
28-02-06,0.002425,0.000167,0.002951,0.001373,0.000453
31-03-06,0.012909,0.011511,0.017915,0.016503,0.011065
28-04-06,0.012064,0.01085,0.010538,0.009691,0.012187
31-05-06,-0.028319,-0.030519,-0.028304,-0.029964,-0.030917
30-06-06,0.001587,0.000348,-0.00196,-0.00327,0.000087
31-07-06,0.005571,0.00451,-0.014294,-0.015115,0.005086
31-08-06,0.02415,0.021679,0.03042,0.028695,0.021274
29-09-06,0.026487,0.025296,0.026354,0.025107,0.024566
31-10-06,0.032527,0.03142,0.036768,0.035605,0.031508
30-11-06,0.018385,0.015887,0.025339,0.023503,0.016467
29-12-06,0.013768,0.012294,0.008267,0.006709,0.012616
31-01-07,0.015313,0.014345,0.023825,0.023078,0.014059
28-02-07,-0.019288,-0.021598,-0.003043,-0.004504,-0.021846
30-03-07,0.010894,0.009679,0.007339,0.005983,0.00998
30-04-07,0.043991,0.042857,0.043294,0.041862,0.043291
31-05-07,0.034459,0.032154,0.03255,0.030965,0.032549
29-06-07,-0.01662,-0.017829,-0.018468,-0.019701,-0.017816
31-07-07,-0.031197,-0.032283,-0.045079,-0.045903,-0.031982
31-08-07,0.015094,0.012859,0.000895,-0.000985,0.012864
28-09-07,0.037468,0.035923,0.024308,0.022877,0.035794
31-10-07,0.01736,0.016292,0.013447,0.012615,0.014822
30-11-07,-0.041382,-0.043581,-0.049793,-0.051698,-0.044043
31-12-07,-0.006116,-0.007903,-0.016719,-0.018747,-0.008628
31-01-08,-0.061166,-0.062332,-0.045038,-0.045904,-0.061163
29-02-08,-0.031419,-0.033693,-0.029501,-0.031274,-0.034761
31-03-08,-0.0034,-0.005054,-0.012729,-0.014528,-0.00596
30-04-08,0.048629,0.04749,0.052409,0.051516,0.047547
30-05-08,0.012986,0.010708,0.025677,0.023675,0.010674
30-06-08,-0.082842,-0.084569,-0.098363,-0.100078,-0.085962
31-07-08,-0.007306,-0.008738,-0.003641,-0.004894,-0.009859
29-08-08,0.014955,0.012682,0.028359,0.026313,0.012191
30-09-08,-0.085467,-0.087287,-0.103388,-0.105272,-0.090791
31-10-08,-0.16698,-0.168455,-0.207562,-0.208677,-0.169425
28-11-08,-0.073512,-0.076514,-0.103635,-0.106579,-0.074849
31-12-08,0.011995,0.009229,0.044007,0.040642,0.007822
30-01-09,-0.082615,-0.084039,-0.078402,-0.07927,-0.085657
27-02-09,-0.103588,-0.107402,-0.116939,-0.119918,-0.109931
31-03-09,0.087634,0.084154,0.109438,0.105672,0.085405
30-04-09,0.09423,0.09255,0.184857,0.183568,0.093925
29-05-09,0.05464,0.051848,0.062487,0.060109,0.053081
30-06-09,0.002476,0.00068,-0.004651,-0.006631,0.000196
31-07-09,0.074482,0.073101,0.093928,0.093046,0.074142
31-08-09,0.034751,0.032255,0.057829,0.055677,0.03356
30-09-09,0.036534,0.034978,0.052527,0.050787,0.035723
30-10-09,-0.018259,-0.019458,-0.034448,-0.035198,-0.019762
30-11-09,0.060257,0.057607,0.054502,0.051918,0.057364
31-12-09,0.018983,0.017346,0.048224,0.046469,0.017771
